user_id,gender,postal_code
0,female,10977
6,female,33168
7,female,26104
10,female,77433
16,female,75228
17,female,75228
18,female,75033
32,female,28269
34,female,92109
37,female,92109
38,female,98409
44,female,31320
50,female,30238
53,female,92336
55,female,98409
56,female,98409
58,female,98409
60,female,11021
61,female,63653
62,female,24095
65,female,92336
68,female,39740
69,female,7416
73,female,34753
74,female,92336
77,female,34753
79,female,24095
81,female,29483
82,female,92336
86,female,95123
90,female,33584
91,female,92019
96,female,34753
97,female,11378
98,female,92336
99,female,34753
100,female,32908
102,female,39740
103,female,34753
104,female,29483
105,female,32703
106,female,2152
107,female,92336
109,female,11378
115,female,34753
118,female,35810
121,female,34753
127,female,63653
128,female,33584
130,female,10458
131,female,30907
134,female,17602
136,female,17602
139,female,17602
141,female,30907
143,female,17602
144,female,17602
148,female,17602
152,female,78109
155,female,92602
159,female,2152
160,female,33584
162,female,99701
173,female,41835
182,female,30907
184,female,86406
185,female,73110
188,female,30316
192,female,90712
197,female,6051
200,female,6051
202,female,30907
204,female,6051
206,female,73110
207,female,30907
210,female,30907
214,female,71909
219,female,8043
222,female,17512
224,female,49307
226,female,17512
228,female,49307
230,female,75402
232,female,22204
234,female,78210
235,female,49307
239,female,37087
243,female,49307
246,female,33584
250,female,32431
251,female,92019
253,female,49307
264,female,32431
273,female,80503
275,female,77388
276,female,30215
279,female,17512
283,female,77375
288,female,33584
291,female,30215
293,female,21244
295,female,89511
297,female,17512
299,female,30215
301,female,30215
302,female,30215
303,female,30215
304,female,71909
305,female,71909
308,female,85034
310,female,36277
311,female,85034
313,female,71909
318,female,85034
322,female,85034
323,female,71909
326,female,30215
328,female,46561
330,female,85034
332,female,46561
337,female,85034
339,female,32811
340,female,71909
341,female,46561
343,female,85034
345,female,46561
346,female,46561
347,female,71909
353,female,71909
355,female,17512
356,female,17512
357,female,17512
360,female,47001
364,female,17512
369,female,45327
370,female,38587
372,female,85034
374,female,78109
380,female,78109
386,female,33313
390,female,92019
395,female,49508
399,female,60458
400,female,20770
401,female,78109
403,female,49508
409,female,30096
410,female,13060
419,female,66104
420,female,21209
424,female,37213
429,female,19134
443,female,49508
444,female,27834
446,female,63640
447,female,95002
449,female,49508
452,female,55721
454,female,83704
456,female,45203
458,female,83704
459,female,83704
460,female,63640
464,female,61822
472,female,55721
474,female,63640
476,female,91789
477,female,77502
481,female,98002
482,female,98002
483,female,77502
484,female,92582
486,female,79605
489,female,92582
492,female,79605
496,female,43081
501,female,29229
502,female,79605
504,female,28677
508,female,11210
509,female,77502
512,female,79605
521,female,98036
522,female,49508
525,female,95076
527,female,29229
530,female,29229
532,female,55721
536,female,21613
539,female,61102
541,female,61102
544,female,61102
547,female,91709
550,female,53534
554,female,61102
560,female,61102
561,female,31316
562,female,95111
564,female,17257
568,female,57719
569,female,6762
573,female,57719
575,female,75024
578,female,91789
579,female,92887
580,female,6010
581,female,6762
584,female,19720
586,female,29506
599,female,19720
601,female,45723
602,female,60634
606,female,98002
609,female,21613
612,female,6762
614,female,75211
616,female,91789
619,female,98002
621,female,96819
622,female,61102
623,female,60634
627,female,91789
628,female,8069
629,female,96819
631,female,19720
635,female,96819
637,female,75211
639,female,60634
640,female,8069
644,female,60634
648,female,18634
651,female,8069
655,female,75001
656,female,8069
658,female,27545
669,female,75001
678,female,75001
680,female,75001
681,female,19720
684,female,55721
688,female,43081
693,female,31082
696,female,20165
698,female,27545
700,female,27545
702,female,57719
703,female,27560
705,female,13060
708,female,42101
711,female,11412
725,female,44120
726,female,52806
728,female,30101
730,female,91789
731,female,52806
738,female,52806
754,female,32256
756,female,12035
758,female,32256
765,female,75225
770,female,75211
774,female,62565
775,female,29669
778,female,28092
780,female,32256
781,female,1545
782,female,32256
784,female,32256
788,female,77301
791,female,62441
792,female,32256
794,female,32256
797,female,6489
810,female,85648
817,female,26003
818,female,50014
819,female,26003
821,female,26003
823,female,91360
824,female,10469
825,female,91360
827,female,2148
834,female,2148
835,female,36301
840,female,36301
841,female,2148
846,female,2148
847,female,1610
858,female,26003
860,female,86406
863,female,25839
864,female,32431
875,female,8060
876,female,43610
878,female,50014
879,female,29073
880,female,34748
884,female,29170
888,female,21224
889,female,29073
890,female,50014
892,female,50014
894,female,50014
895,female,50014
906,female,50014
910,female,78660
911,female,37664
912,female,37664
913,female,29170
916,female,50014
917,female,37664
918,female,34653
920,female,27214
924,female,27214
928,female,81050
933,female,30324
935,female,30324
937,female,92505
938,female,59860
939,female,48206
942,female,78227
943,female,1879
946,female,33024
948,female,1879
950,female,92505
955,female,1879
956,female,92505
958,female,1879
963,female,1879
968,female,92505
969,female,1879
973,female,83864
978,female,83864
981,female,92505
982,female,28734
985,female,11201
988,female,92505
997,female,77037
999,female,6489
1003,female,48141
1004,female,77037
1006,female,92064
1009,female,20903
1010,female,60473
1014,female,19601
1016,female,14305
1021,female,36301
1022,female,19601
1025,female,20903
1033,female,92109
1035,female,53094
1041,female,40047
1044,female,19601
1050,female,44820
1052,female,1945
1054,female,44820
1058,female,1945
1060,female,1945
1062,female,88101
1064,female,60634
1067,female,77586
1068,female,14701
1069,female,92394
1072,female,14701
1073,female,14701
1075,female,71438
1076,female,14701
1079,female,27569
1080,female,19145
1081,female,70374
1083,female,13636
1084,female,29583
1087,female,70374
1094,female,70374
1098,female,70374
1105,female,11356
1107,female,24201
1108,female,33313
1110,female,33313
1115,female,8086
1118,female,5701
1120,female,60623
1122,female,38701
1125,female,60623
1128,female,60623
1136,female,98199
1139,female,60623
1142,female,29571
1144,female,44131
1145,female,60623
1147,female,60623
1152,female,60623
1154,female,33578
1158,female,60623
1164,female,29571
1167,female,15061
1173,female,15061
1182,female,72834
1186,female,85037
1187,female,85037
1188,female,85037
1192,female,10805
1193,female,85037
1196,female,87031
1202,female,24701
1203,female,95367
1208,female,85205
1209,female,89032
1210,female,98036
1219,female,8527
1220,female,27534
1221,female,27534
1224,female,33137
1226,female,29303
1229,female,33137
1230,female,97222
1236,female,14222
1237,female,33137
1238,female,97222
1242,female,33137
1243,female,33137
1244,female,97222
1246,female,33137
1249,female,97222
1250,female,97222
1254,female,32621
1255,female,94043
1258,female,33137
1263,female,94043
1266,female,95824
1268,female,77389
1271,female,95864
1278,female,77389
1280,female,97754
1286,female,89031
1289,female,89031
1291,female,89031
1294,female,37052
1296,female,45218
1304,female,77029
1313,female,77029
1315,female,77029
1317,female,63366
1318,female,83864
1320,female,32526
1321,female,32526
1322,female,71075
1325,female,8060
1329,female,75501
1330,female,71075
1331,female,71075
1333,female,96749
1334,female,71075
1336,female,75033
1340,female,75033
1344,female,71075
1351,female,77029
1354,female,75501
1357,female,31093
1360,female,36301
1362,female,36301
1363,female,36301
1365,female,36301
1368,female,75501
1369,female,8010
1370,female,95841
1372,female,75501
1376,female,75501
1378,female,26280
1380,female,75501
1382,female,75501
1384,female,26508
1385,female,98043
1386,female,85037
1389,female,98043
1391,female,33446
1394,female,98043
1395,female,98043
1399,female,75501
1406,female,60110
1408,female,26508
1410,female,60110
1417,female,26508
1419,female,75501
1420,female,60110
1422,female,60110
1427,female,60110
1430,female,60110
1437,female,26508
1439,female,26508
1441,female,77029
1447,female,96819
1452,female,90210
1454,female,57104
1456,female,57104
1460,female,57104
1463,female,75702
1465,female,57104
1467,female,32609
1469,female,75702
1470,female,32609
1472,female,75702
1478,female,84044
1486,female,60634
1489,female,84044
1492,female,60634
1493,female,75702
1494,female,84044
1500,female,60634
1501,female,1841
1505,female,34711
1511,female,70805
1512,female,67045
1514,female,38114
1517,female,60452
1519,female,93245
1521,female,60452
1526,female,60452
1527,female,60452
1530,female,40047
1533,female,53226
1537,female,17202
1538,female,61101
1539,female,60804
1542,female,67501
1544,female,95111
1549,female,70401
1557,female,60452
1564,female,61101
1565,female,79930
1566,female,61101
1568,female,61101
1570,female,55311
1572,female,61101
1576,female,55311
1577,female,61101
1580,female,56601
1581,female,61101
1583,female,17202
1584,female,90011
1589,female,94605
1594,female,90011
1596,female,90011
1597,female,92532
1599,female,55311
1602,female,17202
1604,female,60452
1609,female,82435
1614,female,83704
1618,female,83704
1622,female,90011
1629,female,63701
1634,female,67501
1639,female,82435
1646,female,67501
1648,female,82435
1649,female,67501
1650,female,33060
1652,female,33313
1655,female,98043
1656,female,98043
1657,female,98043
1660,female,12401
1661,female,99701
1662,female,98043
1664,female,82435
1666,female,17202
1667,female,98043
1668,female,90011
1672,female,83651
1673,female,98043
1674,female,98043
1681,female,98043
1684,female,60502
1686,female,37918
1688,female,27263
1695,female,42330
1696,female,37918
1697,female,17202
1700,female,33060
1702,female,33060
1708,female,99508
1709,female,46227
1721,female,2148
1723,female,30019
1725,female,72450
1738,female,78130
1739,female,30019
1749,female,75087
1753,female,55311
1755,female,64801
1756,female,78109
1758,female,78648
1764,female,55311
1765,female,64801
1774,female,31088
1776,female,64801
1784,female,30132
1785,female,80011
1790,female,76112
1796,female,34741
1798,female,75126
1803,female,32204
1805,female,75126
1810,female,29303
1812,female,11706
1815,female,19140
1816,female,30153
1817,female,14612
1822,female,30132
1828,female,30132
1836,female,30132
1837,female,30132
1842,female,40228
1844,female,40228
1846,female,93638
1848,female,40228
1849,female,6489
1854,female,54932
1855,female,40228
1863,female,97222
1864,female,40228
1868,female,40503
1869,female,40503
1870,female,23605
1874,female,97222
1875,female,46406
1880,female,36066
1882,female,46406
1886,female,8060
1889,female,13642
1891,female,57701
1895,female,8060
1897,female,1845
1908,female,11751
1909,female,11751
1914,female,49423
1915,female,99508
1916,female,99508
1917,female,33594
1920,female,89032
1921,female,99508
1930,female,48745
1932,female,48745
1937,female,48745
1939,female,28412
1940,female,87732
1942,female,51351
1944,female,77074
1948,female,48745
1950,female,73801
1952,female,29468
1953,female,48745
1956,female,87732
1960,female,57067
1963,female,57067
1964,female,29468
1965,female,57067
1967,female,48507
1970,female,48745
1974,female,30241
1976,female,57067
1979,female,57067
1980,female,87732
1981,female,60188
1983,female,93035
1987,female,2860
1992,female,4047
1993,female,60188
1997,female,30101
1998,female,76116
1999,female,71101
2001,female,31082
2002,female,36553
2006,female,93312
2010,female,27597
2013,female,36553
2017,female,49835
2018,female,1841
2022,female,1841
2024,female,43228
2029,female,1841
2037,female,43228
2038,female,1841
2039,female,33556
2043,female,1841
2046,female,29654
2048,female,19401
2049,female,43228
2050,female,30132
2051,female,1841
2052,female,33556
2053,female,19401
2055,female,43228
2056,female,72764
2059,female,93726
2062,female,30132
2069,female,30132
2072,female,72764
2075,female,30132
2078,female,72764
2079,female,43228
2080,female,18109
2081,female,19403
2088,female,96003
2090,female,19403
2093,female,19403
2094,female,19403
2097,female,92887
2099,female,96003
2102,female,93001
2104,female,29583
2108,female,29583
2110,female,34233
2111,female,29583
2113,female,96003
2126,female,29583
2138,female,29583
2139,female,96003
2140,female,93001
2142,female,92887
2145,female,92109
2150,female,42633
2152,female,42633
2155,female,91505
2158,female,91505
2160,female,43050
2161,female,54650
2164,female,33417
2165,female,42633
2168,female,24870
2170,female,42633
2173,female,42633
2175,female,33101
2177,female,76522
2179,female,76522
2180,female,76522
2184,female,33101
2186,female,75092
2187,female,76522
2189,female,76522
2193,female,76522
2195,female,76522
2197,female,76522
2202,female,76522
2203,female,61726
2209,female,61726
2211,female,61726
2217,female,67037
2222,female,61726
2226,female,20903
2227,female,33417
2231,female,30477
2234,female,33411
2236,female,30477
2239,female,30477
2247,female,30477
2253,female,30477
2255,female,33616
2260,female,30477
2264,female,33511
2266,female,11751
2267,female,55720
2268,female,11751
2276,female,30477
2280,female,33411
2282,female,23072
2284,female,33411
2289,female,25162
2294,female,33411
2297,female,52033
2299,female,39440
2302,female,28673
2311,female,83402
2315,female,20012
2319,female,52033
2320,female,11751
2321,female,27713
2323,female,52033
2324,female,27713
2325,female,75402
2326,female,52033
2327,female,52033
2332,female,52033
2334,female,42749
2337,female,52033
2339,female,77471
2343,female,30132
2344,female,49437
2350,female,27410
2351,female,75402
2352,female,52033
2359,female,11378
2365,female,19149
2368,female,46032
2371,female,95014
2373,female,14701
2375,female,12203
2380,female,8086
2382,female,46406
2390,female,27706
2391,female,1803
2393,female,85140
2396,female,91011
2398,female,1803
2399,female,46406
2400,female,11950
2402,female,48161
2404,female,11950
2407,female,11950
2410,female,90011
2411,female,11950
2412,female,33773
2413,female,33773
2415,female,11950
2416,female,11950
2417,female,40601
2418,female,11950
2424,female,11950
2427,female,92274
2428,female,11950
2429,female,40601
2430,female,8086
2432,female,98683
2436,female,40601
2438,female,40601
2439,female,8086
2442,female,23451
2444,female,40601
2447,female,11950
2449,female,22980
2450,female,8086
2451,female,11950
2452,female,95961
2453,female,95961
2457,female,47905
2463,female,32621
2469,female,95961
2470,female,30071
2471,female,29464
2474,female,47905
2475,female,95961
2477,female,7663
2480,female,47905
2484,female,89032
2491,female,47905
2492,female,60618
2496,female,47905
2499,female,23504
2500,female,43302
2501,female,60618
2503,female,11706
2504,female,85257
2505,female,37830
2514,female,10805
2516,female,43302
2519,female,16101
2520,female,43119
2523,female,60618
2524,female,16101
2528,female,26032
2529,female,43302
2530,female,7663
2531,female,46221
2532,female,46221
2536,female,34667
2537,female,46221
2543,female,1845
2547,female,46221
2548,female,43302
2549,female,60618
2554,female,60402
2555,female,46221
2558,female,10805
2565,female,60618
2566,female,37814
2567,female,2760
2568,female,60618
2573,female,46221
2574,female,60618
2575,female,60618
2582,female,11751
2584,female,68801
2585,female,20004
2589,female,8086
2591,female,19966
2593,female,19966
2594,female,10805
2595,female,83336
2596,female,34667
2597,female,19966
2598,female,76063
2599,female,19966
2600,female,68801
2607,female,21239
2608,female,19966
2619,female,19966
2621,female,36083
2624,female,36083
2625,female,76039
2626,female,36083
2628,female,71222
2629,female,36083
2630,female,19966
2631,female,36083
2635,female,36083
2639,female,1845
2643,female,36083
2650,female,25177
2659,female,77581
2660,female,1845
2662,female,1845
2663,female,8086
2667,female,34667
2668,female,1610
2669,female,11208
2672,female,1610
2675,female,28411
2681,female,37166
2682,female,70816
2684,female,70816
2687,female,25839
2688,female,1610
2692,female,64836
2693,female,1610
2694,female,36083
2695,female,30421
2701,female,70816
2702,female,1845
2706,female,36083
2707,female,27527
2711,female,28212
2712,female,46217
2715,female,98661
2717,female,46217
2718,female,78210
2721,female,70816
2722,female,46217
2729,female,46217
2731,female,98661
2734,female,44129
2737,female,98661
2740,female,37211
2744,female,44129
2750,female,98661
2751,female,92707
2752,female,64078
2754,female,75234
2755,female,98661
2756,female,34474
2757,female,75180
2760,female,29650
2761,female,48047
2762,female,13041
2763,female,98661
2765,female,75234
2767,female,29650
2768,female,21213
2769,female,1845
2771,female,29650
2772,female,75234
2773,female,47586
2774,female,77034
2775,female,1845
2776,female,75234
2778,female,13041
2779,female,84737
2782,female,7017
2784,female,60618
2785,female,26062
2788,female,1375
2792,female,13041
2793,female,39428
2798,female,10460
2800,female,60163
2801,female,76115
2802,female,10460
2803,female,32811
2812,female,19530
2813,female,60163
2814,female,7017
2817,female,40051
2820,female,40051
2824,female,40051
2825,female,60618
2834,female,4401
2835,female,77089
2836,female,31709
2837,female,38104
2838,female,19131
2840,female,78264
2841,female,31709
2842,female,24266
2846,female,20783
2848,female,20783
2856,female,40051
2857,female,31709
2860,female,40051
2861,female,31709
2862,female,40051
2863,female,72764
2865,female,60564
2867,female,18017
2868,female,75052
2869,female,72764
2870,female,18017
2874,female,33025
2875,female,71301
2878,female,28610
2879,female,29053
2884,female,95367
2890,female,44114
2891,female,44114
2892,female,27263
2893,female,72601
2894,female,40051
2895,female,27263
2897,female,40051
2898,female,11235
2900,female,27263
2901,female,62203
2904,female,20853
2905,female,16033
2908,female,27263
2915,female,25839
2919,female,6605
2921,female,23234
2923,female,6605
2925,female,80011
2926,female,27263
2927,female,48507
2928,female,6605
2929,female,25839
2930,female,78254
2931,female,21619
2933,female,21619
2934,female,21120
2935,female,21619
2936,female,75092
2937,female,19124
2938,female,21619
2942,female,18064
2943,female,21120
2944,female,33480
2945,female,21619
2946,female,73112
2947,female,21120
2949,female,24293
2951,female,21120
2952,female,44256
2953,female,75092
2954,female,21619
2955,female,6605
2960,female,28906
2962,female,28906
2963,female,66067
2966,female,21120
2967,female,10027
2974,female,78539
2976,female,33012
2978,female,20165
2981,female,21120
2984,female,28906
2990,female,27534
2991,female,33012
2993,female,73099
2996,female,2131
2997,female,28906
2998,female,21619
2999,female,75092
3000,female,20165
3001,female,21619
3003,female,21120
3009,female,28328
3012,female,28328
3020,female,28906
3026,female,27534
3027,female,28328
3028,female,33063
3029,female,28328
3030,female,28906
3031,female,33012
3032,female,73018
3033,female,91702
3035,female,33417
3037,female,28328
3040,female,33012
3042,female,91702
3043,female,28906
3044,female,27534
3045,female,27534
3046,female,33012
3049,female,2131
3051,female,27516
3052,female,33480
3056,female,91702
3058,female,33417
3059,female,33480
3063,female,89121
3066,female,33480
3069,female,21619
3070,female,78210
3072,female,33417
3074,female,11232
3076,female,21619
3077,female,25839
3082,female,78210
3083,female,78210
3084,female,27103
3085,female,38118
3086,female,46996
3087,female,28906
3088,female,52001
3090,female,32810
3091,female,78210
3092,female,46996
3093,female,28906
3094,female,67401
3097,female,37130
3102,female,46996
3103,female,67401
3106,female,37130
3107,female,98272
3116,female,90005
3117,female,23185
3122,female,44256
3124,female,2860
3126,female,98272
3128,female,37130
3129,female,44256
3130,female,67401
3131,female,67401
3132,female,78210
3135,female,67401
3138,female,33063
3141,female,20603
3142,female,24201
3143,female,98272
3144,female,67401
3151,female,46996
3152,female,97330
3153,female,44256
3156,female,67401
3157,female,44256
3160,female,44256
3162,female,21213
3166,female,7419
3169,female,47265
3173,female,45601
3176,female,45601
3177,female,33458
3182,female,7419
3183,female,45601
3184,female,42327
3185,female,92083
3188,female,63841
3192,female,92083
3193,female,29506
3195,female,45601
3196,female,92083
3198,female,53142
3199,female,37660
3201,female,92083
3204,female,92083
3205,female,92083
3206,female,37660
3208,female,92083
3211,female,14850
3213,female,14850
3214,female,77433
3215,female,33773
3216,female,92083
3217,female,37660
3222,female,48433
3226,female,33012
3228,female,37660
3229,female,32204
3234,female,10805
3238,female,60502
3242,female,78572
3244,female,78572
3252,female,2760
3254,female,76021
3256,female,78701
3259,female,77433
3260,female,37660
3263,female,2760
3265,female,2760
3266,female,2171
3270,female,77433
3271,female,78572
3278,female,1610
3279,female,1610
3280,female,76112
3282,female,6108
3283,female,1610
3284,female,78249
3285,female,76112
3286,female,1610
3287,female,78249
3290,female,37660
3293,female,78249
3295,female,77433
3296,female,2131
3298,female,10011
3300,female,78249
3302,female,79912
3303,female,33186
3306,female,14223
3307,female,33012
3308,female,24736
3309,female,72118
3312,female,24736
3314,female,2131
3319,female,33950
3325,female,24736
3326,female,33415
3329,female,24736
3336,female,19145
3338,female,24736
3339,female,19145
3340,female,33415
3342,female,77433
3343,female,77433
3344,female,72601
3346,female,24736
3348,female,72601
3353,female,24736
3354,female,33411
3355,female,19145
3356,female,76544
3357,female,78249
3364,female,33415
3366,female,92105
3369,female,19446
3370,female,33415
3371,female,72601
3374,female,33415
3375,female,27529
3379,female,33415
3380,female,21401
3381,female,72601
3383,female,44224
3389,female,50317
3390,female,72601
3395,female,24201
3397,female,27529
3398,female,93308
3403,female,92122
3404,female,70719
3406,female,68512
3407,female,68512
3408,female,24201
3410,female,60502
3413,female,27529
3414,female,68512
3415,female,27529
3418,female,24557
3420,female,27529
3421,female,27529
3422,female,68512
3428,female,48223
3429,female,48223
3431,female,48223
3436,female,24557
3438,female,72227
3439,female,48223
3440,female,48223
3444,female,7111
3447,female,72227
3450,female,24557
3451,female,48223
3453,female,48223
3456,female,40051
3460,female,22191
3462,female,60194
3469,female,48858
3472,female,8021
3481,female,27534
3484,female,34667
3485,female,11233
3487,female,85202
3489,female,13676
3490,female,17331
3491,female,85202
3492,female,85202
3494,female,20002
3495,female,24557
3496,female,13676
3498,female,24019
3504,female,13676
3507,female,29583
3509,female,55437
3510,female,25839
3512,female,29583
3513,female,70816
3516,female,78586
3518,female,2025
3520,female,70816
3521,female,3220
3522,female,29479
3524,female,78586
3525,female,39073
3526,female,78586
3527,female,53202
3528,female,48220
3531,female,74145
3533,female,44256
3534,female,74145
3535,female,74145
3536,female,78586
3543,female,74145
3545,female,74145
3546,female,60435
3548,female,75454
3549,female,78586
3551,female,75454
3553,female,40504
3554,female,40504
3557,female,78586
3559,female,28405
3562,female,25839
3568,female,46226
3569,female,62203
3574,female,47905
3578,female,47905
3579,female,77701
3581,female,62203
3583,female,14222
3585,female,29611
3586,female,77701
3590,female,64127
3591,female,29611
3592,female,77701
3599,female,46222
3600,female,46222
3602,female,29611
3605,female,46222
3607,female,46222
3611,female,78228
3614,female,78228
3617,female,46222
3622,female,27869
3625,female,73018
3626,female,73018
3627,female,48312
3628,female,73018
3630,female,48312
3631,female,48312
3632,female,73018
3633,female,65757
3636,female,48312
3637,female,8611
3638,female,8611
3640,female,48312
3643,female,8611
3647,female,65757
3652,female,65757
3654,female,65757
3655,female,48141
3656,female,76528
3661,female,76528
3667,female,73018
3676,female,76103
3677,female,76103
3678,female,77037
3679,female,76103
3683,female,48141
3684,female,76103
3687,female,98232
3689,female,48141
3690,female,76103
3692,female,55430
3696,female,77657
3697,female,77657
3701,female,20002
3703,female,20002
3710,female,54751
3711,female,20002
3713,female,62002
3714,female,20002
3715,female,78723
3716,female,78723
3717,female,20002
3719,female,20002
3721,female,20002
3722,female,27589
3724,female,27589
3726,female,27589
3728,female,27589
3729,female,27589
3730,female,27589
3731,female,27589
3733,female,27589
3736,female,27589
3737,female,27589
3738,female,27589
3744,female,62025
3745,female,38134
3746,female,28801
3750,female,35044
3751,female,62025
3755,female,35044
3760,female,38134
3766,female,38134
3771,female,38134
3778,female,60502
3779,female,35044
3780,female,35044
3782,female,35044
3784,female,62025
3789,female,92020
3790,female,60502
3794,female,78210
3795,female,78210
3796,female,10469
3799,female,78210
3800,female,3104
3801,female,3104
3802,female,95209
3803,female,78210
3804,female,62025
3805,female,40117
3807,female,95209
3808,female,3104
3810,female,92010
3812,female,76109
3815,female,60502
3817,female,3104
3819,female,60502
3822,female,65301
3824,female,60502
3826,female,6855
3828,female,65301
3829,female,60502
3840,female,28422
3844,female,28422
3846,female,28422
3848,female,36832
3849,female,28422
3850,female,30252
3851,female,28422
3855,female,77831
3860,female,30252
3863,female,91910
3867,female,28422
3870,female,65301
3873,female,65301
3874,female,30252
3875,female,91910
3876,female,28422
3877,female,30252
3882,female,30906
3884,female,11369
3885,female,30252
3887,female,30458
3890,female,30906
3892,female,34614
3894,female,91910
3896,female,36832
3897,female,30252
3904,female,13676
3905,female,91910
3917,female,90291
3918,female,90291
3919,female,19140
3920,female,11369
3921,female,30906
3922,female,30906
3928,female,90291
3930,female,90291
3931,female,30906
3933,female,11364
3937,female,19140
3938,female,90291
3940,female,11369
3941,female,19140
3942,female,95220
3944,female,89031
3946,female,30906
3953,female,19140
3957,female,90291
3959,female,95220
3963,female,95220
3964,female,90064
3966,female,95220
3967,female,95121
3968,female,89031
3972,female,77581
3973,female,77581
3974,female,39071
3976,female,39071
3979,female,11219
3989,female,93308
3990,female,93308
3991,female,48219
3993,female,67401
3996,female,55372
4001,female,48212
4002,female,48219
4003,female,39501
4005,female,48219
4006,female,7107
4008,female,39209
4016,female,93308
4018,female,93308
4020,female,93308
4022,female,7107
4023,female,7107
4026,female,20165
4027,female,48219
4028,female,8053
4029,female,8053
4030,female,30329
4031,female,8053
4032,female,48219
4035,female,39073
4036,female,7107
4041,female,76017
4042,female,30329
4043,female,48219
4044,female,76017
4048,female,48219
4049,female,85225
4050,female,76017
4051,female,7107
4054,female,85225
4055,female,39073
4059,female,85225
4061,female,10461
4069,female,98661
4073,female,27869
4074,female,30558
4076,female,98661
4077,female,1604
4081,female,7107
4083,female,98661
4084,female,27869
4085,female,30558
4086,female,98272
4087,female,98661
4089,female,7107
4095,female,62702
4096,female,39073
4100,female,97219
4104,female,93923
4106,female,97219
4109,female,63401
4113,female,28518
4114,female,80816
4115,female,32176
4117,female,76116
4118,female,89110
4119,female,32176
4121,female,76116
4123,female,70560
4124,female,70560
4125,female,92691
4126,female,80816
4127,female,70560
4128,female,39073
4129,female,70560
4130,female,39073
4133,female,44509
4134,female,92691
4137,female,25839
4142,female,92691
4147,female,80816
4149,female,34759
4151,female,70560
4153,female,11224
4154,female,34759
4157,female,25839
4159,female,32725
4160,female,11224
4164,female,39073
4165,female,25839
4169,female,39073
4173,female,95667
4174,female,80816
4178,female,25839
4179,female,34759
4180,female,32725
4183,female,37811
4184,female,80816
4186,female,92691
4187,female,70560
4188,female,34759
4195,female,11224
4196,female,75149
4197,female,92691
4198,female,34759
4199,female,37811
4200,female,80816
4201,female,37210
4203,female,95667
4204,female,11224
4206,female,37811
4210,female,37811
4211,female,95667
4213,female,11224
4215,female,24293
4216,female,92691
4218,female,11224
4219,female,34759
4220,female,4096
4222,female,37811
4224,female,37811
4227,female,11224
4230,female,80816
4232,female,11224
